neighbor;price;days_in_market;expenses;util;n_bathrooms;n_rooms;parking;scraping_day;longitude;latitude;price_util
asa norte;4800.0;365.0;;85.0;3.0;3.0;2.0;2020-03-23;-47.8885244219996;-15.7570265639996;56.470588235294116
lago sul;8000.0;3.0;2000.0;250.0;2.0;3.0;3.0;2020-03-23;-47.8288073839996;-15.848345975999598;32.0
guara ii;4200.0;6.0;;200.0;1.0;3.0;3.0;2020-03-23;-47.783721316999596;-15.7739828479996;21.0
lago norte;3500.0;15.0;;150.0;3.0;3.0;3.0;2020-04-10;-47.8701841109996;-15.7368455579996;23.333333333333332
sobradinho;2200.0;4.0;;120.0;2.0;3.0;2.0;2020-04-10;-47.79781313899961;-15.6601021149996;18.333333333333332
aguas sul;3700.0;1.0;703.0;106.0;4.0;3.0;2.0;2020-04-10;-48.038945512999604;-15.837913230999598;34.905660377358494
riacho fundo ii;1100.0;158.0;;100.0;1.0;3.0;2.0;2020-04-10;-48.0561196639996;-15.8672341249996;11.0
samambaia sul;1300.0;8.0;;90.0;1.0;3.0;2.0;2020-04-10;-47.99623010399961;-15.9989154819996;14.444444444444445
grande colorado;2750.0;15.0;285.0;220.0;4.0;3.0;2.0;2020-04-10;-47.8503815359996;-15.6675970869996;12.5
taguatinga norte;1200.0;13.0;;70.0;1.0;2.0;2.0;2020-04-10;-47.8114992209996;-15.645707819999599;17.142857142857142
samambaia norte;1500.0;1.0;;150.0;2.0;2.0;2.0;2020-04-10;-48.0775303269996;-15.864103852999596;10.0
centro;3100.0;0.0;;200.0;3.0;3.0;3.0;2020-04-10;-47.9712654309996;-15.8434709199996;15.5
setor oeste;1200.0;4.0;;165.0;2.0;3.0;2.0;2020-04-10;-47.82432715899961;-15.6414935609996;7.2727272727272725
samambaia sul;1300.0;1.0;;90.0;1.0;3.0;2.0;2020-04-01;-47.99623010399961;-15.9989154819996;14.444444444444445
riacho fundo ii;1100.0;149.0;;100.0;1.0;3.0;2.0;2020-04-01;-48.0561196639996;-15.8672341249996;11.0
grande colorado;2750.0;6.0;285.0;220.0;4.0;3.0;2.0;2020-04-01;-47.8503815359996;-15.6675970869996;12.5
taguatinga norte;1200.0;4.0;;70.0;1.0;2.0;2.0;2020-04-01;-47.8114992209996;-15.645707819999599;17.142857142857142
park sul;4000.0;0.0;932.0;73.0;2.0;2.0;2.0;2020-03-19;-47.959307372999604;-15.8317708619996;54.794520547945204
centro;3000.0;6.0;925.0;163.0;3.0;3.0;3.0;2020-03-19;-48.0212437159996;-15.8420951119996;18.404907975460123
lago sul;8000.0;0.0;2000.0;250.0;2.0;3.0;3.0;2020-03-19;-47.8288073839996;-15.848345975999598;32.0
riacho fundo ii;1100.0;136.0;;100.0;1.0;3.0;2.0;2020-03-19;-48.0561196639996;-15.8672341249996;11.0
guara ii;4200.0;2.0;;200.0;1.0;3.0;3.0;2020-03-19;-47.783721316999596;-15.7739828479996;21.0
asa norte;4800.0;365.0;;85.0;3.0;3.0;2.0;2020-03-19;-47.8885244219996;-15.7570265639996;56.470588235294116
guara ii;4200.0;0.0;;200.0;1.0;3.0;3.0;2020-03-27;-47.783721316999596;-15.7739828479996;21.0
park sul;4000.0;8.0;932.0;73.0;2.0;2.0;2.0;2020-03-27;-47.959307372999604;-15.8317708619996;54.794520547945204
centro;2500.0;2.0;631.0;93.0;2.0;3.0;2.0;2020-03-27;-48.023717878999605;-15.8431442649996;26.881720430107528
lago norte;3500.0;1.0;;150.0;3.0;3.0;3.0;2020-03-27;-47.8701841109996;-15.7368455579996;23.333333333333332
asa norte;4800.0;365.0;;85.0;3.0;3.0;2.0;2020-03-27;-47.8885244219996;-15.7570265639996;56.470588235294116
grande colorado;2750.0;1.0;285.0;220.0;4.0;3.0;2.0;2020-03-27;-47.8503815359996;-15.6675970869996;12.5
aguas sul;2200.0;0.0;934.0;107.0;2.0;3.0;2.0;2020-03-27;-47.7930647829996;-15.8769979429996;20.560747663551403
lago norte;3500.0;13.0;;150.0;3.0;3.0;3.0;2020-04-08;-47.8701841109996;-15.7368455579996;23.333333333333332
samambaia sul;1300.0;6.0;;90.0;1.0;3.0;2.0;2020-04-08;-47.99623010399961;-15.9989154819996;14.444444444444445
grande colorado;2750.0;13.0;285.0;220.0;4.0;3.0;2.0;2020-04-08;-47.8503815359996;-15.6675970869996;12.5
taguatinga norte;1200.0;11.0;;70.0;1.0;2.0;2.0;2020-04-08;-47.8114992209996;-15.645707819999599;17.142857142857142
sobradinho;2200.0;2.0;;120.0;2.0;3.0;2.0;2020-04-08;-47.79781313899961;-15.6601021149996;18.333333333333332
setor oeste;1200.0;2.0;;165.0;2.0;3.0;2.0;2020-04-08;-47.82432715899961;-15.6414935609996;7.2727272727272725
ceilandia sul;750.0;75.0;;144.0;1.0;3.0;2.0;2018-09-24;-48.09928350000001;-15.8387742;5.208333333333333
asa sul;7500.0;6.0;900.0;140.0;4.0;3.0;2.0;2018-09-24;-47.90854880000001;-15.818308068942768;53.57142857142857
taguatinga norte;2100.0;4.0;;250.0;3.0;3.0;2.0;2018-09-25;-48.0832282;-15.810256099999998;8.4
asa norte;10000.0;0.0;;354.0;4.0;3.0;2.0;2018-09-24;-47.89679089999999;-15.7437079;28.24858757062147
riacho fundo ii;800.0;235.0;;100.0;1.0;3.0;2.0;2018-09-25;-48.005691299999974;-15.8786333;8.0
asa sul;3900.0;181.0;;243.0;3.0;3.0;2.0;2018-09-25;-47.9047223;-15.8101237;16.049382716049383
asa norte;6700.0;165.0;;74.0;2.0;2.0;2.0;2018-09-25;-47.8409638;-15.7886395;90.54054054054055
asa norte;10000.0;9.0;2500.0;354.0;4.0;3.0;2.0;2018-09-24;-47.8924779;-15.741511;28.24858757062147
taguatinga norte;3000.0;227.0;;200.0;3.0;2.0;3.0;2018-09-24;-48.07562359999997;-15.827295499999998;15.0
samambaia;2300.0;35.0;;120.0;2.0;3.0;3.0;2020-04-03;-47.9300930139996;-15.779971905999599;19.166666666666668
sudoeste;10000.0;21.0;2000.0;200.0;2.0;3.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;50.0
centro;3600.0;28.0;100.0;200.0;3.0;3.0;3.0;2020-04-03;-48.0101202209996;-15.836571637999599;18.0
samambaia norte;1750.0;57.0;;100.0;2.0;3.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;17.5
zona industrial;4995.0;162.0;1170.0;96.0;3.0;3.0;2.0;2020-04-03;-47.9540530539997;-15.8235245419996;52.03125
noroeste;6200.0;0.0;1000.0;125.0;4.0;3.0;3.0;2020-04-03;-47.88272963099961;-15.789225170999599;49.6
centro;4850.0;18.0;785.0;88.0;2.0;2.0;2.0;2020-04-03;-47.9574426029996;-15.8299330869996;55.11363636363637
noroeste;5200.0;17.0;850.0;110.0;4.0;3.0;3.0;2020-04-03;-47.9300930139996;-15.779971905999599;47.27272727272727
aguas sul;3300.0;22.0;590.0;100.0;3.0;3.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;33.0
noroeste;9000.0;44.0;1500.0;178.0;1.0;3.0;3.0;2020-04-03;-47.9148066589996;-15.748099718999601;50.561797752808985
park sul;4200.0;46.0;941.0;75.0;2.0;2.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;56.0
centro;1700.0;0.0;;67.0;2.0;3.0;2.0;2020-04-03;-48.0828458869996;-15.8374367399996;25.37313432835821
lago norte;2750.0;7.0;880.0;64.0;2.0;2.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;42.96875
sudoeste;3800.0;0.0;;125.0;1.0;3.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;30.4
setor habitacional vicente pires;3219.0;3.0;180.0;270.0;4.0;3.0;2.0;2020-04-03;-48.205448686999596;-15.679043810999598;11.922222222222222
noroeste;4500.0;22.0;;105.0;3.0;2.0;2.0;2020-04-03;-47.88272963099961;-15.789225170999599;42.857142857142854
aguas sul;2800.0;9.0;650.0;90.0;2.0;3.0;2.0;2020-04-03;-47.8737693659996;-15.7896288469996;31.11111111111111
vicente pires;4900.0;168.0;300.0;350.0;4.0;3.0;2.0;2020-04-03;-47.9957557979996;-15.7777639709996;14.0
taquari;2800.0;51.0;;170.0;2.0;3.0;2.0;2020-04-03;-47.7904232869996;-15.7583666319996;16.470588235294116
ceilandia centro;1060.0;33.0;1.0;120.0;2.0;3.0;2.0;2020-04-03;-47.7838185639996;-15.7735846169996;8.833333333333334
taguatinga centro;1100.0;30.0;;80.0;2.0;2.0;2.0;2020-04-03;-47.957663843999605;-15.809166658999601;13.75
samambaia norte;1950.0;44.0;;250.0;2.0;3.0;3.0;2020-04-03;-48.1924171419996;-15.678927629999599;7.8
ceilandia norte;1200.0;1.0;;64.0;1.0;2.0;3.0;2020-04-03;-47.9300930139996;-15.779971905999599;18.75
asa norte;9500.0;162.0;;244.0;4.0;3.0;2.0;2020-04-03;-47.88272963099961;-15.789225170999599;38.9344262295082
noroeste;5700.0;36.0;900.0;148.0;4.0;3.0;2.0;2020-04-03;-47.88272963099961;-15.789225170999599;38.513513513513516
sobradinho;4000.0;232.0;;235.0;2.0;3.0;2.0;2020-04-03;-47.77980464799961;-15.658697644999599;17.02127659574468
asa norte;8000.0;17.0;;99.0;2.0;3.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;80.8080808080808
samambaia norte;1000.0;127.0;;112.0;1.0;3.0;2.0;2020-04-03;-48.079686748999606;-15.859593322999599;8.928571428571429
lago norte;8000.0;53.0;;250.0;4.0;3.0;3.0;2020-04-03;-47.9300930139996;-15.779971905999599;32.0
asa norte;6100.0;28.0;1100.0;128.0;3.0;3.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;47.65625
riacho fundo i;1800.0;3.0;550.0;83.0;2.0;3.0;2.0;2020-04-03;-48.14417243399961;-15.9080450919996;21.686746987951807
vicente pires;5000.0;122.0;172.0;195.0;4.0;3.0;3.0;2020-04-03;-47.8051315699996;-15.6558832269996;25.641025641025642
guara i;3000.0;0.0;;170.0;2.0;3.0;2.0;2020-04-03;-47.8099032129996;-15.658867522999596;17.647058823529413
vicente pires;3600.0;18.0;100.0;200.0;3.0;3.0;3.0;2020-04-03;-47.828894316999595;-15.639296940999598;18.0
guara ii;3100.0;11.0;467.0;76.0;2.0;3.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;40.78947368421053
noroeste;8500.0;31.0;;170.0;4.0;3.0;2.0;2020-04-03;-47.88272963099961;-15.789225170999599;50.0
samambaia;1000.0;35.0;;112.0;2.0;3.0;2.0;2020-04-03;-48.07989116599961;-15.8586988499996;8.928571428571429
asa norte;12500.0;17.0;2100.0;136.0;3.0;3.0;3.0;2020-04-03;-47.9300930139996;-15.779971905999599;91.91176470588235
taguatinga centro;3000.0;35.0;;180.0;1.0;3.0;2.0;2020-04-03;-47.7974211569996;-15.6420052489996;16.666666666666668
centro;13500.0;18.0;;136.0;2.0;3.0;3.0;2020-04-03;-48.0828458869996;-15.8374367399996;99.26470588235294
setor de hoteis e turismo norte;6000.0;117.0;750.0;96.0;2.0;2.0;2.0;2020-04-03;-47.8326757119996;-15.788072802999599;62.5
guara ii;4000.0;13.0;;170.0;3.0;3.0;2.0;2020-04-03;-47.7831154629996;-15.7715028839996;23.529411764705884
taguatinga norte;1500.0;21.0;280.0;78.0;1.0;2.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;19.23076923076923
sobradinho;1400.0;22.0;;80.0;2.0;3.0;3.0;2020-04-03;-47.8084562999996;-15.6580662909996;17.5
noroeste;7000.0;27.0;1200.0;167.0;4.0;3.0;2.0;2020-04-03;-47.88272963099961;-15.789225170999599;41.91616766467066
setor habitacional jardim botanico;2800.0;31.0;600.0;195.0;2.0;3.0;3.0;2020-04-03;-47.9300930139996;-15.779971905999599;14.35897435897436
asa sul;3200.0;24.0;;100.0;2.0;3.0;2.0;2020-04-03;-47.8706327579996;-15.8689720469996;32.0
quadras economicas lucio costa;1500.0;7.0;380.0;62.0;1.0;2.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;24.193548387096776
centro;3500.0;0.0;380.0;295.0;4.0;3.0;3.0;2020-04-03;-47.8211662169996;-15.8866440819996;11.864406779661017
asa norte;5500.0;18.0;900.0;93.0;3.0;3.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;59.13978494623656
asa norte;6500.0;1.0;1554.0;72.0;2.0;2.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;90.27777777777777
jardins mangueiral;1900.0;4.0;1.0;67.0;2.0;3.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;28.35820895522388
centro;2700.0;77.0;;120.0;3.0;3.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;22.5
ceilandia centro;850.0;0.0;;65.0;1.0;3.0;3.0;2020-04-03;-47.9300930139996;-15.779971905999599;13.076923076923077
samambaia norte;1600.0;3.0;;80.0;2.0;3.0;2.0;2020-04-03;-48.0811068059996;-15.8598969589996;20.0
guara i;8800.0;163.0;;220.0;3.0;3.0;3.0;2020-04-03;-47.99607203899961;-15.782156445999599;40.0
samambaia norte;900.0;203.0;;73.0;2.0;2.0;2.0;2020-04-03;-48.1924171419996;-15.678927629999599;12.32876712328767
asa norte;4600.0;22.0;1458.0;80.0;1.0;2.0;2.0;2020-04-03;-47.8467418249996;-15.787674935999599;57.5
setor habitacional jardim botanico;3000.0;21.0;560.0;215.0;3.0;3.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;13.953488372093023
sobradinho;2500.0;55.0;;160.0;1.0;2.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;15.625
centro;1850.0;19.0;450.0;80.0;3.0;2.0;2.0;2020-04-03;-48.1412631829996;-15.8097858349996;23.125
lago sul;5300.0;133.0;;326.0;3.0;2.0;3.0;2020-04-03;-48.195816659999714;-15.686830167999599;16.257668711656443
centro;1200.0;97.0;;80.0;1.0;2.0;2.0;2020-04-03;-48.0828458869996;-15.8374367399996;15.0
sudoeste;10500.0;3.0;2300.0;240.0;4.0;3.0;2.0;2020-04-03;-47.92252549399961;-15.8006985629996;43.75
noroeste;5200.0;17.0;950.0;110.0;4.0;3.0;3.0;2020-04-03;-47.9300930139996;-15.779971905999599;47.27272727272727
areal;1100.0;88.0;;92.0;1.0;2.0;2.0;2020-04-03;-47.909659358999605;-15.8795284129996;11.956521739130435
guara i;1800.0;11.0;;90.0;3.0;3.0;2.0;2020-04-03;-48.0769570409996;-15.8112350469996;20.0
sudoeste;6000.0;0.0;860.0;114.0;3.0;3.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;52.63157894736842
asa norte;5100.0;21.0;;95.0;3.0;3.0;2.0;2020-04-03;-47.8847407649996;-15.7532661069996;53.68421052631579
sudoeste;4900.0;124.0;837.0;188.0;3.0;2.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;26.06382978723404
setor aeroporto;1100.0;220.0;450.0;93.0;2.0;3.0;2.0;2020-04-03;-47.9564752319996;-16.2599204319996;11.827956989247312
guara ii;3700.0;23.0;;290.0;4.0;3.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;12.758620689655173
asa norte;6100.0;35.0;;127.0;3.0;3.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;48.031496062992126
taguatinga norte;1600.0;0.0;;100.0;1.0;3.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;16.0
guara i;1700.0;17.0;370.0;84.0;2.0;2.0;2.0;2020-04-03;-47.9533295639996;-15.8412440599996;20.238095238095237
lago norte;2100.0;17.0;550.0;68.0;2.0;2.0;2.0;2020-04-03;-48.188151971999595;-15.6797820799996;30.88235294117647
setor de mansoes de sobradinho;1600.0;60.0;;95.0;2.0;3.0;2.0;2020-04-03;-47.7556918729996;-15.649851640999598;16.842105263157894
taguatinga norte;1200.0;17.0;;70.0;1.0;2.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;17.142857142857142
ceilandia norte;1300.0;17.0;;140.0;2.0;3.0;3.0;2020-04-03;-47.9300930139996;-15.779971905999599;9.285714285714286
noroeste;5000.0;24.0;580.0;84.0;1.0;2.0;2.0;2020-04-03;-47.88272963099961;-15.789225170999599;59.523809523809526
ceilandia norte;1350.0;10.0;;90.0;1.0;3.0;3.0;2020-04-03;-47.9300930139996;-15.779971905999599;15.0
guara ii;1650.0;43.0;;80.0;2.0;3.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;20.625
aguas sul;2200.0;3.0;680.0;84.0;3.0;3.0;2.0;2020-04-03;-48.0952112399996;-15.8742588489996;26.19047619047619
setor habitacional jardim botanico;2750.0;14.0;500.0;200.0;3.0;3.0;3.0;2020-04-03;-47.9300930139996;-15.779971905999599;13.75
aguas sul;3500.0;23.0;1058.0;133.0;4.0;3.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;26.31578947368421
grande colorado;2400.0;6.0;340.0;200.0;2.0;3.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;12.0
ceilandia norte;800.0;254.0;;150.0;1.0;2.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;5.333333333333333
samambaia sul;1100.0;52.0;;130.0;1.0;2.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;8.461538461538462
lago sul;5300.0;146.0;1500.0;153.0;3.0;3.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;34.64052287581699
centro;1900.0;29.0;;90.0;2.0;2.0;2.0;2020-04-03;-47.3374300749996;-15.5404411019996;21.11111111111111
cruzeiro velho;3800.0;203.0;;120.0;3.0;3.0;3.0;2020-04-03;-47.9300930139996;-15.779971905999599;31.666666666666668
centro;1200.0;171.0;;65.0;1.0;3.0;2.0;2020-04-03;-48.0828458869996;-15.8374367399996;18.46153846153846
asa norte;5100.0;91.0;;95.0;3.0;3.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;53.68421052631579
asa sul;3200.0;84.0;;130.0;1.0;3.0;2.0;2020-04-03;-47.8706327579996;-15.8689720469996;24.615384615384617
setor habitacional jardim botanico;2500.0;17.0;540.0;110.0;1.0;2.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;22.727272727272727
guara i;2500.0;83.0;;200.0;3.0;3.0;3.0;2020-04-03;-47.9533295639996;-15.8412440599996;12.5
asa sul;5000.0;22.0;;168.0;3.0;3.0;3.0;2020-04-03;-47.9223250729996;-15.822151772999597;29.761904761904763
taguatinga norte;1050.0;248.0;;80.0;1.0;3.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;13.125
sudoeste;2500.0;365.0;675.0;100.0;2.0;2.0;2.0;2020-04-03;-47.9300930139996;-15.779971905999599;25.0
samambaia norte;1300.0;254.0;;100.0;3.0;3.0;2.0;2020-04-03;-48.0751381789996;-15.8538045549996;13.0
centro;4500.0;347.0;;150.0;4.0;2.0;3.0;2020-04-03;-48.0828458869996;-15.8374367399996;30.0
vila planalto;4250.0;365.0;;240.0;3.0;3.0;3.0;2020-04-03;-47.9300930139996;-15.779971905999599;17.708333333333332
