date;interest;mortgage
2018-02-01;0.0014999999999999992;0.005600000000000001
2018-03-01;0.0044;0.0077
2018-04-01;0.003;0.0064
2018-05-01;0.0011999999999999995;0.0043
2018-06-01;0.001;0.001
2018-07-01;0.0021000000000000003;0.004600000000000001
2018-08-01;0.006599999999999999;0.0087
2018-09-01;0.001;0.0028000000000000004
2018-10-01;0.0008999999999999998;0.0030999999999999995
2018-11-01;0.006999999999999999;0.0097
2018-12-01;0.0034;0.0061
2019-01-01;0.0022;0.004200000000000001
2019-02-01;0.0005999999999999997;0.0033
2019-03-01;0.001;0.00010000000000000026
2019-04-01;0.001;0.0018000000000000004
2019-05-01;0.0041;0.0061
2019-06-01;0.004599999999999999;0.0073
2019-07-01;0.0038;0.0054
2019-08-01;0.0039;0.006
2019-09-01;0.005;0.007399999999999999
2019-10-01;0.0038;0.0058000000000000005
2019-11-01;0.001;0.0014999999999999994
2019-12-01;0.001;0.001
2020-01-01;0.0017;0.0043
2020-02-01;0.00039999999999999975;0.0039
2020-03-01;0.0027;0.0058000000000000005
2020-04-01;0.005900000000000001;0.0095
2020-05-01;0.0062;0.0102
2020-06-01;0.001;0.0038
2020-07-01;0.001;0.0026
2020-08-01;0.001;0.0037000000000000006
2020-09-01;0.001;0.001
2020-10-01;0.001;0.001
2020-11-01;0.001;0.001
2020-12-01;0.001;0.001
2021-01-01;0.001;0.0018499999999999992
2021-02-01;0.001;0.0018499999999999992
2021-03-01;0.001;0.0018499999999999992
2021-04-01;0.001;0.0018499999999999992
2021-05-01;0.001;0.0018499999999999992
2021-06-01;0.001;0.0018499999999999992
2021-07-01;0.001;0.0018499999999999992
2021-08-01;0.001;0.0018499999999999992
2021-09-01;0.001;0.0018499999999999992
2021-10-01;0.001;0.0018499999999999992
2021-11-01;0.001;0.0018499999999999992
2021-12-01;0.001;0.0018499999999999992
2022-01-01;0.001;0.0018499999999999992
2022-02-01;0.001;0.0018499999999999992
2022-03-01;0.001;0.0018499999999999992
2022-04-01;0.001;0.0018499999999999992
2022-05-01;0.001;0.0018499999999999992
2022-06-01;0.001;0.0018499999999999992
2022-07-01;0.001;0.0018499999999999992
2022-08-01;0.001;0.0018499999999999992
2022-09-01;0.001;0.0018499999999999992
2022-10-01;0.001;0.0018499999999999992
2022-11-01;0.001;0.0018499999999999992
2022-12-01;0.001;0.0018499999999999992
2023-01-01;0.001;0.0018499999999999992
2023-02-01;0.001;0.0018499999999999992
2023-03-01;0.001;0.0018499999999999992
2023-04-01;0.001;0.0018499999999999992
2023-05-01;0.001;0.0018499999999999992
2023-06-01;0.001;0.0018499999999999992
2023-07-01;0.001;0.0018499999999999992
2023-08-01;0.001;0.0018499999999999992
2023-09-01;0.001;0.0018499999999999992
2023-10-01;0.001;0.0018499999999999992
2023-11-01;0.001;0.0018499999999999992
2023-12-01;0.001;0.0018499999999999992
2024-01-01;0.001;0.0018499999999999992
2024-02-01;0.001;0.0018499999999999992
2024-03-01;0.001;0.0018499999999999992
2024-04-01;0.001;0.0018499999999999992
2024-05-01;0.001;0.0018499999999999992
2024-06-01;0.001;0.0018499999999999992
2024-07-01;0.001;0.0018499999999999992
2024-08-01;0.001;0.0018499999999999992
2024-09-01;0.001;0.0018499999999999992
2024-10-01;0.001;0.0018499999999999992
2024-11-01;0.001;0.0018499999999999992
2024-12-01;0.001;0.0018499999999999992
2025-01-01;0.001;0.0018499999999999992
2025-02-01;0.001;0.0018499999999999992
2025-03-01;0.001;0.0018499999999999992
