;AP;num_employees;num_firms
233;2609600999003;3133.0;335
234;2609600999004;865.0;128
235;2609600999005;730.0;106
236;2609600999006;1963.0;218
237;2609600999007;7844.0;1046
238;2609600999008;3213.0;318
239;2609600999009;374.0;51
240;2609600999010;1125.0;210
241;2610707999001;773.0;127
242;2610707999002;689.0;123
243;2610707999003;608.0;99
244;2610707999004;459.0;91
245;2610707999005;261.0;45
246;2610707999006;72.0;14
247;2610707999007;176.0;49
248;2610707999008;1902.0;181
249;2610707999009;1987.0;118
250;2610707999010;2848.0;106
251;2610707999011;333.0;57
252;2610707999012;2033.0;260
253;2611606999001;22417.5;1741
254;2611606999002;26706.0;2390
255;2611606999003;24663.0;2744
256;2611606999004;1432.0;157
257;2611606999005;4124.0;571
258;2611606999006;5721.5;507
259;2611606999007;734.0;88
260;2611606999008;221.0;59
261;2611606999009;1010.0;171
262;2611606999010;270.0;67
263;2611606999011;353.0;44
264;2611606999012;9078.0;981
265;2611606999013;12813.0;1216
266;2611606999014;4222.0;538
267;2611606999015;4628.0;723
268;2611606999016;3249.0;231
269;2611606999017;374.0;74
270;2611606999018;231.0;45
271;2611606999019;158.0;46
272;2611606999020;1133.0;124
273;2611606999021;321.0;75
274;2611606999022;858.0;56
275;2611606999023;567.0;81
276;2611606999024;5017.0;491
277;2611606999025;2978.0;310
278;2611606999026;2040.0;285
279;2611606999027;4569.0;457
280;2611606999028;2931.5;222
281;2611606999029;8178.0;847
282;2611606999030;6057.0;468
283;2611606999031;882.0;88
284;2611606999032;1454.0;121
285;2611606999033;5542.0;625
286;2611606999034;1802.0;241
287;2611606999035;2511.0;214
288;2611606999036;161.0;34
289;2611606999037;3490.0;145
290;2611606999038;739.0;126
291;2611606999039;1575.0;181
292;2611606999040;2265.0;235
293;2611606999041;18473.0;2129
294;2611606999042;3156.0;437
295;2611606999043;15607.0;1904
296;2611606999044;5559.0;667
297;2611606999045;8850.0;829
298;2611606999046;4335.5;405
299;2611606999047;2644.0;239
300;2611606999048;1674.5;191
301;2611606999049;2526.0;163
302;2611606999050;87.0;19
303;2611606999051;2150.0;259
304;2611606999052;372.0;73
305;2611606999053;605.0;94
306;2613701001001;1071.0;220
307;2613701001002;386.0;52
308;2613701001003;459.0;30
309;2613701001004;15.0;6
310;2905701001001;753.0;137
311;2905701001002;1126.0;108
312;2905701001003;2358.0;307
313;2905701001004;7417.0;1040
314;2905701001005;13101.0;332
315;2905701501001;788.0;50
316;2906501001001;2942.0;399
317;2910057001001;2438.0;272
318;2916104001001;68.0;18
319;2919207001001;2360.0;443
320;2919207001002;1498.0;217
321;2919207001003;372.0;62
322;2919207001004;2400.0;421
323;2919207001005;1349.0;129
324;2919926001001;362.0;65
325;2921005001001;2485.0;101
326;2927408999001;181.0;60
327;2927408999002;4928.0;401
328;2927408999003;711.0;136
329;2927408999004;22.0;16
330;2927408999005;2382.5;471
331;2927408999006;2360.0;266
332;2927408999007;1375.0;249
333;2927408999008;122.0;19
334;2927408999009;1730.0;225
335;2927408999010;4360.0;449
336;2927408999011;2626.0;266
337;2927408999012;8347.5;973
338;2927408999013;457.0;104
339;2927408999014;3337.0;454
340;2927408999015;3182.0;491
341;2927408999016;6200.5;809
342;2927408999017;25020.5;2386
343;2927408999018;15115.5;2058
344;2927408999019;311.0;46
345;2927408999020;680.0;162
346;2927408999021;6227.0;687
347;2927408999022;7644.0;939
348;2927408999023;8610.5;1127
349;2927408999024;6834.5;1030
350;2927408999025;2784.0;412
351;2927408999026;4438.0;443
352;2927408999027;4141.0;298
353;2927408999028;3563.0;374
354;2927408999029;9341.0;804
355;2927408999030;2513.0;227
356;2927408999031;711.0;96
357;2927408999032;709.5;73
358;2927408999033;862.0;121
359;2927408999034;676.0;130
360;2927408999035;28396.0;3602
361;2927408999036;15150.0;1410
362;2927408999037;7097.0;1152
363;2927408999038;3470.0;286
364;2927408999039;2503.0;185
365;2927408999040;2551.0;227
366;2927408999041;462.0;84
367;2927408999042;559.0;72
368;2927408999043;267.0;70
369;2927408999044;260.0;66
370;2927408999045;164.0;49
371;2927408999046;85.0;20
372;2927408999047;1034.0;176
373;2927408999048;454.0;113
374;2927408999049;137.0;28
375;2927408999050;645.0;73
376;2927408999051;7065.0;400
377;2927408999052;2022.0;111
378;2927408999053;426.0;71
379;2927408999054;545.0;109
380;2927408999055;3048.0;341
381;2927408999056;4436.0;384
382;2927408999057;389.0;53
383;2927408999058;786.0;159
384;2927408999059;545.0;97
385;2927408999060;306.0;58
386;2927408999061;9349.0;768
387;2927408999062;3310.0;498
388;2927408999063;1702.0;353
389;2927408999064;2458.0;340
390;2927408999065;875.0;154
391;2927408999066;6506.0;382
392;2927408999067;9628.0;1344
393;2927408999068;3975.0;337
394;2927408999069;2445.0;357
395;2927408999070;3594.0;228
396;2927408999071;1006.0;128
397;2927408999072;2800.0;176
398;2927408999073;1515.0;85
399;2927408999074;3625.0;357
400;2927408999075;3449.0;181
401;2927408999076;166.0;45
402;2927408999077;543.0;128
403;2927408999078;1212.0;188
404;2927408999079;1094.0;237
405;2927408999080;755.0;47
406;2927408999081;1829.0;268
407;2927408999082;237.0;50
408;2927408999083;496.0;77
409;2927408999084;253.0;53
410;2927408999085;842.0;136
411;2927408999086;204.0;49
412;2927408999087;75.0;20
413;2927408999088;0.0;1
414;2929206001001;1685.0;49
415;2929503001001;457.0;100
416;2930709001001;3832.0;421
417;2930709001002;1089.0;55
418;3106200999001;3849.0;760
419;3106200999002;17781.0;2148
420;3106200999003;11730.0;1530
421;3106200999004;827.0;124
422;3106200999005;10941.0;1243
423;3106200999006;110136.0;12522
424;3106200999007;14566.5;2452
425;3106200999008;1374.0;230
426;3106200999009;4493.0;522
427;3106200999010;2355.0;592
428;3106200999011;6129.0;599
429;3106200999012;3869.0;591
430;3106200999013;286.0;51
431;3106200999014;6114.0;939
432;3106200999015;2545.0;281
433;3106200999016;210.0;50
434;3106200999017;1582.0;232
435;3106200999018;7684.0;1001
436;3106200999019;604.0;186
437;3106200999020;4029.0;415
438;3106200999021;3066.0;587
439;3106200999022;10439.0;1847
440;3106200999023;10048.0;1022
441;3106200999024;7868.0;1370
442;3106200999025;3819.0;643
443;3106200999026;4234.0;823
444;3106200999027;309.0;52
445;3106200999028;1360.0;124
446;3106200999029;15647.5;1413
447;3106200999030;10012.0;1453
448;3106200999031;949.0;228
449;3106200999032;792.0;136
450;3106200999033;11052.0;780
451;3106200999034;2245.0;433
452;3106200999035;786.0;195
453;3106200999036;1045.0;149
454;3106200999037;6514.0;435
455;3106200999038;12913.0;2001
456;3106200999039;7007.0;658
457;3106200999040;1957.0;416
458;3106200999041;2027.5;345
459;3106200999042;2548.0;298
460;3106200999043;1839.0;356
461;3106200999044;7060.0;835
462;3106200999045;5659.0;649
463;3106200999046;499.0;70
464;3106200999047;6337.0;854
465;3106200999048;6001.0;766
466;3106200999049;12904.5;1858
467;3106200999050;7844.0;943
468;3106200999051;2076.0;290
469;3106200999052;6095.0;752
470;3106200999053;1619.0;292
471;3106200999054;76966.5;8181
472;3106200999055;8078.0;1243
473;3106200999056;114.0;20
474;3106200999057;2083.0;319
475;3106200999058;4387.0;677
476;3106705001001;168.0;45
477;3106705001002;251.0;64
478;3106705001003;370.0;55
479;3106705001004;496.0;142
480;3106705001005;1732.0;130
481;3106705001006;2721.0;209
482;3106705001007;3908.0;68
483;3106705001008;167.0;45
484;3106705001009;5549.5;898
485;3106705001010;10045.0;213
486;3106705001011;1737.0;244
487;3106705001012;2498.0;150
488;3106705001013;8298.0;771
489;3109006001001;1275.0;246
490;3110004001001;1504.0;318
491;3112505001001;98.0;30
492;3117876001001;197.0;43
493;3118601001001;3638.0;332
494;3118601001002;801.0;156
495;3118601001003;3164.0;391
496;3118601001004;9425.0;438
497;3118601001005;1855.0;250
498;3118601001006;555.0;125
499;3118601001007;2237.0;255
500;3118601001008;940.0;168
501;3118601001009;460.0;86
502;3118601001010;396.0;96
503;3118601001011;164.0;36
504;3118601001012;1837.0;293
505;3118601001013;1175.0;270
506;3118601001014;5016.0;354
507;3118601001015;905.0;145
508;3118601001016;2118.0;115
509;3118601001017;8126.0;616
510;3118601002001;6836.0;429
511;3118601002002;1671.0;361
512;3118601002003;2713.0;248
513;3118601002004;2297.0;388
514;3118601002005;2287.0;380
515;3118601002006;2905.0;311
516;3118601002007;1329.0;299
517;3118601002008;3958.0;409
518;3118601002009;3309.0;500
519;3118601002010;683.0;165
520;3118601002011;14112.5;739
521;3124104001001;1558.5;332
522;3129806501001;2254.0;345
523;3129806502001;735.0;160
524;3130101001001;1453.0;235
525;3136652001001;1782.0;135
526;3137601001001;2697.5;493
527;3140159001001;159.0;45
528;3140704001001;1837.5;241
529;3141108001001;3864.0;417
530;3144805001001;6653.0;1022
531;3149309001001;4524.0;774
532;3153905001001;80.0;32
533;3154606001001;583.0;137
534;3154606001002;1010.0;122
535;3154606001003;1322.0;204
536;3154606001004;216.0;69
537;3154606002001;1056.5;148
538;3154606002002;132.0;33
539;3154606002003;160.0;57
540;3154606002004;218.0;52
541;3154606002005;828.5;125
542;3154606002006;167.0;58
543;3154804001001;1191.0;244
544;3156700501001;4796.0;400
545;3156700502001;1545.0;268
546;3157807001001;2987.5;355
547;3157807001002;2176.0;224
548;3157807001003;1057.0;49
549;3157807002001;350.0;72
550;3157807002002;2049.0;263
551;3157807002003;48.0;27
552;3157807002004;1092.0;70
553;3157807002005;487.0;65
554;3162922001001;756.0;85
555;3162955001001;1075.5;97
556;3165537001001;308.0;67
557;3171204001001;4578.5;460
558;3300456999001;2415.0;343
559;3300456999002;422.0;50
560;3300456999003;638.0;137
561;3300456999004;483.0;52
562;3300456999005;119.0;30
563;3300456999006;139.0;31
564;3300456999007;194.0;27
565;3300456999008;268.0;46
566;3300456999009;1439.0;62
567;3300456999010;392.0;31
568;3300456999011;308.0;60
569;3300456999012;141.0;32
570;3300456999013;242.0;58
571;3300456999014;108.0;18
572;3300456999015;550.0;126
573;3300456999016;287.0;33
574;3300456999017;338.0;33
575;3300456999018;163.0;32
576;3300456999019;304.0;49
577;3300456999020;245.0;57
578;3301702999001;7839.0;472
579;3301702999002;1213.0;81
580;3301702999003;151.0;26
581;3301702999004;5085.0;474
582;3301702999005;937.0;153
583;3301702999006;791.0;110
584;3301702999007;4653.0;418
585;3301702999008;5724.0;789
586;3301702999009;1386.0;123
587;3301702999010;477.0;49
588;3301702999011;1768.0;241
589;3301702999012;344.0;54
590;3301702999013;122.0;24
591;3301702999014;243.0;58
592;3301702999015;190.0;29
593;3301702999016;434.0;58
594;3301702999017;196.0;36
595;3301702999018;710.0;95
596;3301702999019;653.0;62
597;3301702999020;150.0;29
598;3301702999021;547.0;59
599;3301702999022;1437.0;138
600;3301702999023;300.0;59
601;3301702999024;1151.0;144
602;3301702999025;763.0;151
603;3301702999026;554.0;29
604;3301702999027;194.0;30
605;3301702999028;415.0;76
606;3301702999029;2801.0;309
607;3301702999030;2522.0;119
608;3301702999031;914.0;68
609;3301702999032;318.0;59
610;3301702999033;1931.0;62
611;3301702999034;213.0;51
612;3301702999035;3763.0;169
613;3301702999036;780.0;82
614;3301702999037;584.0;38
615;3301702999038;2357.0;137
616;3301702999039;1299.0;136
617;3301702999040;855.5;50
618;3301702999041;78.0;21
619;3301702999042;344.0;69
620;3301702999043;739.0;90
621;3301702999044;256.0;58
622;3301702999045;1169.0;55
623;3301702999046;203.0;34
624;3301702999047;157.0;36
625;3301702999048;3130.0;182
626;3301702999049;304.0;53
627;3301702999050;1194.0;117
628;3301850001001;1526.0;191
629;3301900001001;2162.0;166
630;3301900001002;258.0;36
631;3301900001003;382.0;65
632;3301900001004;1042.0;149
633;3301900001005;356.0;61
634;3301900001006;2636.0;117
635;3301900001007;782.0;121
636;3301900001008;280.0;23
637;3301900001009;304.0;48
638;3302007001001;1357.0;109
639;3302007001002;1064.0;187
640;3302007001003;2767.0;430
641;3302007001004;1351.0;219
642;3302270001001;288.0;30
