;AP;num_employees_clt;num_firms
439;2609600999008;11602;1144
440;2609600999009;907;231
441;2609600999010;2230;793
442;2610608001001;4139;646
443;2610707999001;2317;492
444;2610707999002;3307;509
445;2610707999003;3855;401
446;2610707999004;1647;309
447;2610707999005;1144;400
448;2610707999006;260;75
449;2610707999007;426;209
450;2610707999008;4484;511
451;2610707999009;4731;348
452;2610707999010;2713;374
453;2610707999011;567;179
454;2610707999012;4129;952
455;2611101999001;23437;4109
456;2611101999002;14562;1352
457;2611101999003;10552;2368
458;2611101999004;4238;985
459;2611101999005;21;1
460;2611101999006;1540;47
461;2611606999001;72582;4789
462;2611606999002;47901;4564
463;2611606999003;44928;4971
464;2611606999004;3784;426
465;2611606999005;18866;1397
466;2611606999006;12317;1181
467;2611606999007;1058;316
468;2611606999008;568;200
469;2611606999009;1664;452
470;2611606999010;790;227
471;2611606999011;2492;166
472;2611606999012;21209;1989
473;2611606999013;23518;2507
474;2611606999014;8706;1287
475;2611606999015;10513;1452
476;2611606999016;8612;1310
477;2611606999017;2235;250
478;2611606999018;319;151
479;2611606999019;316;146
480;2611606999020;3048;263
481;2611606999021;647;207
482;2611606999022;1408;161
483;2611606999023;3464;289
484;2611606999024;9142;1233
485;2611606999025;5433;654
486;2611606999026;5708;694
487;2611606999027;8444;1071
488;2611606999028;3656;706
489;2611606999029;17031;1805
490;2611606999030;9589;1244
491;2611606999031;3443;283
492;2611606999032;3174;419
493;2611606999033;15047;1442
494;2611606999034;4489;620
495;2611606999035;4097;654
496;2611606999036;353;159
497;2611606999037;6528;467
498;2611606999038;4234;451
499;2611606999039;4676;469
500;2611606999040;6351;717
501;2611606999041;36041;4076
502;2611606999042;9851;1002
503;2611606999043;38561;4167
504;2611606999044;20017;2242
505;2611606999045;18974;1737
506;2611606999046;10550;1095
507;2611606999047;6152;685
508;2611606999048;4372;484
509;2611606999049;1438;569
510;2611606999050;348;98
511;2611606999051;3329;789
512;2611606999052;460;179
513;2611606999053;1109;236
514;2613701001001;3465;673
515;2613701001002;2072;231
516;2613701001003;297;134
517;2613701001004;3918;69
518;2702207001001;58;45
519;2704302999001;8614;876
520;2704302999002;6565;822
521;2704302999003;2644;559
522;2704302999004;1518;442
523;2704302999005;10853;905
524;2704302999006;49214;5318
525;2704302999007;1084;317
526;2704302999008;1107;224
527;2704302999009;970;167
528;2704302999010;9288;1149
529;2704302999011;3523;809
530;2704302999012;21265;1894
531;2704302999013;2366;495
532;2704302999014;1975;517
533;2704302999015;11705;1402
534;2704302999016;1318;81
535;2704302999017;3683;928
536;2704302999018;20979;3070
537;2704302999019;7513;875
538;2704302999020;751;290
539;2704302999021;10878;1378
540;2704302999022;3160;303
541;2704302999023;11025;1345
542;2704302999024;939;183
543;2707701001001;7908;1044
544;2707909001001;485;103
545;2708907001001;5345;200
546;2800308999001;30087;4562
547;2800308999002;20821;3300
548;2800308999003;15479;1290
549;2800308999004;10931;1343
550;2800308999005;10029;1069
551;2800308999006;5576;645
552;2800308999007;2251;321
553;2800308999008;3994;668
554;2800308999009;5016;656
555;2800308999010;9766;833
556;2800308999011;11901;1767
557;2800308999012;6735;627
558;2800308999013;970;155
559;2800308999014;12191;914
560;2800308999015;1478;341
561;2800308999016;2829;591
562;2800308999017;709;206
563;2800308999018;931;109
564;2800308999019;610;112
565;2800308999020;4199;569
566;2800308999021;4845;541
567;2800308999022;755;192
568;2800605001001;2045;375
569;2803609001001;3631;353
570;2804003001001;1752;232
571;2804805001001;2283;476
572;2804805001002;326;110
573;2804805001003;99;52
574;2804805001004;9264;983
575;2804805001005;1039;261
576;2804805001006;270;84
577;2806701001001;10010;1267
578;2905701001001;2250;454
579;2905701001002;11748;1060
580;2905701001003;7899;1153
581;2905701001004;13412;2749
582;2905701001005;30799;1203
583;2905701501001;2368;279
584;2905701502001;114;34
585;2906501001001;11934;1899
586;2910057001001;12708;1898
587;2910800999001;1957;596
588;2910800999002;2921;973
589;2910800999003;2350;715
590;2910800999004;395;283
591;2910800999005;3733;1492
592;2910800999006;4364;1005
593;2910800999007;27495;6321
594;2910800999008;10118;607
595;2910800999009;2025;373
596;2910800999010;217;160
597;2910800999011;4071;959
598;2910800999012;3220;774
599;2910800999013;6005;1445
600;2910800999014;15442;3019
601;2910800999015;8469;1423
602;2910800999016;11206;979
603;2910800999017;5051;775
604;2910800999018;13;14
605;2910800999019;51;36
606;2913606999001;12375;3005
607;2913606999002;3269;594
608;2913606999003;1533;371
609;2913606999004;547;230
610;2913606999005;3527;450
611;2913606999006;2065;673
612;2913606999007;1096;428
613;2913606999008;5;4
614;2914802999001;12335;3016
615;2914802999002;4114;728
616;2914802999003;2080;775
617;2914802999004;6922;1300
618;2914802999005;1988;466
619;2914802999006;698;309
620;2914802999007;3069;867
621;2914802999008;418;140
622;2914802999009;1622;584
623;2914802999010;4980;316
624;2916104001001;674;317
625;2918407001005;27040;6220
626;2919207001001;86655;7287
627;2919207001002;3650;565
628;2919207001003;1447;459
629;2919207001004;19812;1452
630;2919207001005;9059;717
631;2919926001001;1197;397
632;2921005001001;10436;1132
633;2927408999001;538;175
634;2927408999002;15368;1347
635;2927408999003;2671;333
636;2927408999004;261;96
637;2927408999005;5266;1193
638;2927408999006;5707;729
639;2927408999007;2624;890
640;2927408999008;233;88
641;2927408999009;5749;583
642;2927408999010;5134;728
643;2927408999011;2474;555
644;2927408999012;22475;4168
645;2927408999013;685;234
646;2927408999014;7887;1129
647;2927408999015;6778;1281
648;2927408999016;17716;1800
649;2927408999017;91082;8899
650;2927408999018;58321;5155
651;2927408999019;195;58
652;2927408999020;1033;373
653;2927408999021;9622;1207
654;2927408999022;12972;1756
655;2927408999023;11631;1851
656;2927408999024;10435;1530
657;2927408999025;3788;605
658;2927408999026;8410;744
659;2927408999027;4111;579
660;2927408999028;12670;629
661;2927408999029;14411;1539
662;2927408999030;4456;430
663;2927408999031;2105;252
664;2927408999032;2211;238
665;2927408999033;1335;389
666;2927408999034;2336;300
667;2927408999035;42114;8448
668;2927408999036;31137;3684
669;2927408999037;13513;2332
670;2927408999038;5872;640
671;2927408999039;4039;508
672;2927408999040;2062;499
673;2927408999041;1178;174
674;2927408999042;1270;230
675;2927408999043;316;160
676;2927408999044;439;202
677;2927408999045;394;152
678;2927408999046;212;86
679;2927408999047;1866;616
680;2927408999048;2213;353
681;2927408999049;424;101
682;2927408999050;837;199
683;2927408999051;9201;910
684;2927408999052;5916;547
685;2927408999053;636;188
686;2927408999054;422;210
687;2927408999055;4272;893
688;2927408999056;9849;1100
689;2927408999057;3091;222
690;2927408999058;953;354
691;2927408999059;757;337
692;2927408999060;377;123
693;2927408999061;12582;1860
694;2927408999062;6443;1226
695;2927408999063;3157;711
696;2927408999064;4350;599
697;2927408999065;1022;305
698;2927408999066;3430;758
699;2927408999067;26017;3040
700;2927408999068;6032;525
701;2927408999069;6244;788
702;2927408999070;5226;414
703;2927408999071;6367;462
704;2927408999072;9253;665
705;2927408999073;4316;240
706;2927408999074;14741;904
707;2927408999075;6254;496
708;2927408999076;630;204
709;2927408999077;726;280
710;2927408999078;6972;839
711;2927408999079;3241;725
712;2927408999080;1822;210
713;2927408999081;3713;540
714;2927408999082;2328;189
715;2927408999083;1305;264
716;2927408999084;627;246
717;2927408999085;2709;651
718;2927408999086;639;193
719;2927408999087;167;81
720;2927408999088;116;52
721;2929206001001;4867;544
722;2929503001001;4207;655
723;2930709001001;31087;3511
724;2930709001002;1039;133
725;3106200999001;10734;2490
726;3106200999002;38422;5137
727;3106200999003;21596;3336
728;3106200999004;2577;478
729;3106200999005;19926;3408
730;3106200999006;183826;25418
731;3106200999007;57809;6085
732;3106200999008;2769;980
733;3106200999009;7598;1711
734;3106200999010;5922;2089
735;3106200999011;8555;1486
736;3106200999012;12720;1519
737;3106200999013;453;162
738;3106200999014;13994;3001
739;3106200999015;7582;930
740;3106200999016;1475;383
741;3106200999017;2923;933
742;3106200999018;25725;3484
743;3106200999019;1865;825
744;3106200999020;5751;928
745;3106200999021;5689;2122
746;3106200999022;25817;5301
747;3106200999023;42565;3782
748;3106200999024;31310;5192
749;3106200999025;7043;2157
750;3106200999026;9552;2492
751;3106200999027;605;231
752;3106200999028;2358;607
753;3106200999029;38104;3362
754;3106200999030;29451;3977
755;3106200999031;2525;845
756;3106200999032;2179;373
757;3106200999033;25984;1857
758;3106200999034;5150;1551
759;3106200999035;1956;782
760;3106200999036;2502;397
761;3106200999037;9812;1467
762;3106200999038;24653;4819
763;3106200999039;14305;1696
764;3106200999040;5303;1446
765;3106200999041;5466;1297
766;3106200999042;3713;983
767;3106200999043;4107;1128
768;3106200999044;15801;1969
769;3106200999045;8260;1841
770;3106200999046;1098;326
771;3106200999047;18188;2856
772;3106200999048;13853;2129
773;3106200999049;42902;4108
774;3106200999050;19514;3473
775;3106200999051;4690;1010
776;3106200999052;11760;2235
777;3106200999053;4755;1028
778;3106200999054;138521;17379
779;3106200999055;26402;2925
780;3106200999056;2709;271
781;3106200999057;8207;1468
782;3106200999058;6989;1609
783;3106705001001;1026;221
784;3106705001002;1082;346
785;3106705001003;2179;326
786;3106705001004;1619;575
787;3106705001005;6036;774
788;3106705001006;6933;725
789;3106705001007;7681;248
790;3106705001008;761;279
791;3106705001009;18761;3323
792;3106705001010;3207;550
793;3106705001011;4366;939
794;3106705001012;39291;718
795;3106705001013;16421;1470
796;3109006001001;7267;1318
797;3110004001001;3885;1580
798;3112505001001;1261;400
799;3115904001001;145;138
800;3117876001001;4538;320
801;3118601001001;11152;986
802;3118601001002;2071;621
803;3118601001003;5567;1029
804;3118601001004;17023;1109
805;3118601001005;4482;822
806;3118601001006;1500;515
807;3118601001007;6255;941
808;3118601001008;2772;628
809;3118601001009;2673;423
810;3118601001010;1635;501
811;3118601001011;3064;203
812;3118601001012;8509;1517
813;3118601001013;2412;680
814;3118601001014;9858;943
815;3118601001015;1142;379
816;3118601001016;10897;566
817;3118601001017;13896;1234
818;3118601002001;8834;1089
819;3118601002002;4198;955
820;3118601002003;3550;669
821;3118601002004;4549;963
822;3118601002005;5153;991
823;3118601002006;10881;946
824;3118601002007;3383;854
825;3118601002008;7285;1011
826;3118601002009;5021;1181
827;3118601002010;3896;540
828;3118601002011;26760;1574
829;3119401501001;10840;2736
830;3119401502001;4432;1612
831;3124104001001;4858;1862
832;3129806501001;10976;1862
833;3129806502001;1247;663
834;3130101001001;5229;1107
835;3131158001001;942;396
836;3131307001001;11441;3024
837;3131307001002;8199;1038
838;3131307001003;3399;814
839;3131307001004;7496;1207
840;3131307001005;26451;1749
841;3131307001006;671;291
842;3131307002001;1393;428
843;3131307002002;4938;1207
844;3131307002003;695;384
845;3131307002004;4263;1179
846;3136652001001;5464;673
847;3136702001001;12368;3083
848;3136702001002;6144;1211
849;3136702001003;1740;556
850;3136702001004;1209;446
851;3136702001005;635;355
852;3136702001006;523;338
853;3136702001007;4071;1286
854;3136702001008;16227;3249
855;3136702001009;14354;2608
856;3136702001010;634;343
857;3136702001011;30195;5567
858;3136702001012;2491;482
859;3136702001013;2040;760
860;3136702001014;1463;590
861;3136702001015;7075;1058
862;3136702001016;5698;1031
863;3136702001017;4276;1360
864;3136702001018;6243;1398
865;3136702001019;1839;504
866;3136702001020;596;309
867;3136702001021;8767;975
868;3136702001022;1313;327
869;3136702001023;2997;958
870;3136702001024;6569;852
871;3137601001001;10251;2216
872;3140159001001;865;214
873;3140704001001;7040;1158
874;3140803001001;6673;820
875;3141108001001;9516;1568
876;3144805001001;47168;4584
877;3149309001001;15119;2415
878;3153608001001;820;332
879;3153905001001;415;385
880;3154606001001;2897;771
881;3154606001002;2804;456
882;3154606001003;5319;799
883;3154606001004;889;371
884;3154606002001;1459;388
885;3154606002002;419;191
886;3154606002003;671;277
887;3154606002004;645;225
888;3154606002005;3991;588
889;3154606002006;377;210
890;3154804001001;1125;1808
891;3156700501001;8614;1300
892;3156700502001;4131;1228
893;3157807001001;4761;1158
894;3157807001002;4979;778
895;3157807001003;2898;198
896;3157807002001;843;417
897;3157807002002;4479;1008
898;3157807002003;130;143
