cod_mun;prop_urb
2111573;0,420477137
2111607;0,653665098
2111631;0,222755209
2111672;0,559772727
2111706;0,216070846
2111722;0,209246417
2111748;0,576828841
2111763;0,490395272
2111789;0,31995614
2111805;0,281130078
2111904;0,369242629
2111953;0,497550735
2112001;0,474581574
2112100;0,528540586
2112209;0,871803966
2112233;0,873612974
2112274;0,370725529
2112308;0,46381068
2112407;0,271309406
2112456;0,402124079
2112506;0,307172392
2112605;0,619553485
2112704;0,493157
2112803;0,520389228
2112852;0,463534676
2112902;0,450439021
2113009;0,495011288
2114007;0,630381064
2200053;0,131144356
2200103;0,738202247
2200202;0,900668182
2200251;0,283634246
2200277;0,564820709
2200301;0,467
2200400;0,669674352
2200459;0,351222987
2200509;0,528073916
2200608;0,746169711
2200707;0,467206252
2200806;0,672044897
2200905;0,526307054
2201002;0,508250153
2201051;0,408481177
2201101;0,53174026
2201150;0,469983288
2201176;0,393231069
2201200;0,459978968
2201309;0,510652034
2201408;0,740975394
2201507;0,328677415
2201556;0,255821802
2201572;0,361877316
2201606;0,536861614
2201705;0,691225327
2201739;0,119097222
2201770;0,19787234
2201804;0,35480038
2201903;0,688332077
2201919;0,262918919
2201929;0,237451342
2201945;0,337165439
2201960;0,397230519
2201988;0,299548419
2202000;0,501774384
2202026;0,253294893
2202059;0,163450224
2202075;0,324709411
2202083;0,359523032
2202091;0,239189929
2202109;0,300330675
2202117;0,092114132
2202133;0,24170422
2202174;0,181786523
2202208;0,740342253
2202251;0,450656296
2202307;0,552718959
2202406;0,562076525
2202455;0,104281969
2202505;0,374751244
2202539;0,132044084
2202554;0,268586903
2202604;0,503953324
2202653;0,182782735
2202703;0,440869565
2202711;0,525894539
2202729;0,258777886
2202737;0,249500998
2202752;0,775339186
2202778;0,365466832
2202802;0,529232643
2202851;0,229445074
2202901;0,54042883
2203008;0,355613738
2203107;0,665659726
2203206;0,553372557
2203230;0,165642722
2203255;0,218895908
2203271;0,248815166
2203305;0,821042517
2203354;0,305802835
2203404;0,560127645
2203420;0,221755369
2203453;0,096082613
2203503;0,675443274
2203602;0,668815664
2203701;0,608552825
2203750;0,191035219
2203800;0,400960659
2203859;0,242549669
2203909;0,855159275
2204006;0,594213932
2204105;0,453590527
2204154;0,273427471
2204204;0,476217521
2204303;0,573911306
2204352;0,175156576
2204402;0,441978688
2204501;0,930927435
2204550;0,18653926
2204600;0,795301107
2204659;0,824461343
2204709;0,458477749
2204808;0,584124347
2204907;0,221075999
2205003;0,247760331
2205102;0,495312651
2205151;0,149560633
2205201;0,465035626
2205250;0,292982456
2205276;0,152294854
2205300;0,574529347
2205359;0,149752066
2205409;0,280666871
2205458;0,273166245
2205508;0,551159535
2205516;0,21445943
2205524;0,192355117
2205532;0,123054114
2205540;0,463021067
2205557;0,341217696
2205565;0,189213483
2205573;0,290595341
2205581;0,269208716
2205599;0,384243596
2205607;0,693141436
2205706;0,424566033
2205805;0,559562432
2205854;0,375719982
2205904;0,498155698
2205953;0,768533506
2206001;0,713718158
2206050;0,128757515
2206100;0,432815873
2206209;0,321920332
2206308;0,546715328
2206357;0,233188406
2206407;0,473081773
2206506;0,388823182
2206605;0,261192571
2206654;0,159060099
2206670;0,287878788
2206696;0,157176471
2206704;0,426777707
2206753;0,279948254
2206803;0,374965345
2206902;0,493047337
2206951;0,097305864
2207009;0,578855795
2207108;0,413053
2207207;0,355670103
2207306;0,555449331
2207355;0,409467865
2207405;0,27197538
2207504;0,360457463
2207553;0,113543092
2207603;0,433600856
2207702;0,944860223
2207751;0,551609058
2207777;0,212992545
2207801;0,540807066
2207850;0,411276114
2207900;0,577801718
2207934;0,223776224
2207959;0,09686747
2208007;0,761837794
2208106;0,367238634
2208205;0,259194184
2208304;0,721415315
2208403;0,723759019
2208502;0,633216684
2208551;0,496076002
2208601;0,766762913
2208650;0,087493999
2208700;0,601336589
2208809;0,757884494
2208858;0,376301782
2208874;0,134828564
2208908;0,522544565
2209005;0,647039635
2209104;0,667243767
2209153;0,520995801
2209203;0,418006964
2209302;0,539958159
2209351;0,381501632
2209377;0,660922841
2209401;0,652696934
2209450;0,331556503
2209500;0,552364375
2209559;0,223043893
2209609;0,518692964
2209658;0,185233841
2209708;0,281151668
2209757;0,375968992
2209807;0,768651447
2209856;0,293632075
2209872;0,330126893
2209906;0,473857678
2209955;0,241142857
2209971;0,405301709
2210003;0,642501415
2210052;0,44970293
2210102;0,494379085
2210201;0,283030122
2210300;0,374385965
2210359;0,161675246
2210375;0,238745981
2210383;0,614285714
2210391;0,311935807
2210409;0,35064866
2210508;0,567785771
2210607;0,639717367
2210623;0,102785146
2210631;0,36714472
2210656;0,254919301
2210706;0,333455693
2210805;0,608517235
2210904;0,324491979
2210938;0,236215787
2210953;0,428512225
2210979;0,46893874
2211001;0,947033661
2211100;0,404236074
2211209;0,653224384
2211308;0,709508724
2211357;0,182394772
2211407;0,59150838
2211506;0,201582387
2211605;0,172057811
2211704;0,244872436
2300101;0,382587955
2300150;0,543436219
2300200;0,502001307
2300309;0,471604048
2300408;0,218793247
2300507;0,289275241
2300606;0,665904695
2300705;0,353839158
2300754;0,365014072
2300804;0,680442464
2300903;0,434848485
2301000;0,90429807
2301109;0,640315753
2301208;0,507189162
2301257;0,407174261
2301307;0,517749668
2301406;0,174528684
2301505;0,284690899
2301604;0,451489321
2301703;0,39988892
2301802;0,451607268
2301851;0,471279293
2301901;0,652101805
2301950;0,374471335
2302008;0,543109912
2302057;0,653401336
2302107;0,698101202
2302206;0,465177243
2302305;0,408526694
2302404;0,413867133
2302503;0,589283858
2302602;0,733732506
2302701;0,670226082
2302800;0,568569417
2302909;0,331775111
2303006;0,53710587
2303105;0,293226621
2303204;0,412621925
2303303;0,388744307
2303402;0,454694682
2303501;0,830628928
2303600;0,415835853
2303659;0,438078828
2303709;0,902622575
2303808;0,561092179
2303907;0,698594097
2303931;0,237396884
2303956;0,506174159
2304004;0,563685501
2304103;0,67066772
2304202;0,801913117
2304236;0,454307769
2304251;0,415491178
2304269;0,32450805
2304277;0,358933672
2304285;1
2304301;0,429534826
2304350;0,664398445
2304400;1
2304459;0,713575336
2304509;0,545892495
2304608;0,47595561
2304657;0,326605009
2304707;0,465390644
2304806;0,233050047
2304905;0,639286123
2304954;0,785103601
2305001;0,423152667
2305100;0,407770389
2305209;0,515746028
2305233;0,832258065
2305266;0,267972295
2305308;0,371485309
2305332;0,464970853
2305357;0,290431099
2305407;0,416612018
2305506;0,728447118
2305605;0,406341541
2305654;0,284787054
2305704;0,537221596
2305803;0,573314909
2305902;0,412752819
2306009;0,629342455
2306108;0,555879346
2306207;0,558139535
2306256;0,908580621
2306306;0,668215998
2306405;0,513738622
2306504;0,472106169
2306553;0,326259597
2306603;0,38800592
2306702;0,404738127
2306801;0,405383734
2306900;0,600393589
2307007;0,557592063
2307106;0,278564398
2307205;0,415141087
2307254;0,284059889
2307304;0,953302881
2307403;0,523860021
2307502;0,536166394
2307601;0,568581217
2307635;0,367263186
2307650;0,996873122
2307700;0,740545754
2307809;0,572134919
2307908;0,754126947
2308005;0,648305944
2308104;0,426401566
2308203;0,496251874
2308302;0,418821173
2308351;0,387933681
2308377;0,417973198
2308401;0,392346406
2308500;0,389469853
2308609;0,478646598
2308708;0,525916149
2308807;0,475730911
2308906;0,43206158
2309003;0,548403447
2309102;0,41755648
2309201;0,529353316
2309300;0,710259993
2309409;0,48658065
2309458;0,295218681
2309508;0,717431776
2309607;0,77832993
2309706;0,909702878
2309805;0,34852228
2309904;0,579515302
2310001;0,52155278
2310100;0,44801704
2310209;0,60538833
2310258;0,497997015
2310308;0,388520835
2310407;0,380583409
2310506;0,42577684
2310605;0,638164458
2310704;0,589325153
2310803;0,335566502
2310852;0,456023008
2310902;0,425100906
2310951;0,325465695
2311009;0,60790662
2311108;0,286115724
2311207;0,436091048
2311231;0,380894591
2311264;0,276110052
2311306;0,673155885
2311355;0,267055655
2311405;0,516586478
2311504;0,584568853
2311603;0,511623255
2311702;0,458631738
2311801;0,616242149
2311900;0,480586713
2311959;0,322369838
2312007;0,4753798
2312106;0,485427673
2312205;0,456755162
2312304;0,525642954
2312403;0,620001123
2312502;0,317225434
2312601;0,642254501
2312700;0,576014692
2312809;0,678322926
2312908;0,866251063
2313005;0,456514022
2313104;0,584987822
2313203;0,47745736
2313252;0,211331814
2313302;0,514379764
2313351;0,307493158
2313401;0,642322065
2313500;0,323691244
2313559;0,459036354
2313609;0,460970659
2313708;0,476126429
2313757;0,58006112
2313807;0,679275116
2313906;0,533234602
2313955;0,812330501
2314003;0,552978992
2314102;0,318709138
2400109;0,790151041
2400208;0,723217268
2400307;0,598141161
2400406;0,608663181
2400505;0,645512634
2400604;0,649663138
2400703;0,68238762
2400802;0,807758472
2400901;0,46721918
2401008;0,478521683
2401107;0,792765202
2401206;0,597103241
2401305;0,517508865
2401404;0,814345992
2401453;0,632332734
2401503;0,40075188
2401602;0,434062434
2401651;0,443243243
2401701;0,728973048
2401800;0,711834836
2401859;0,947791852
2401909;0,670387164
2402006;0,888109189
2402105;0,52407347
2402204;0,62655955
2402303;0,654120149
2402402;0,766129032
2402501;0,256835938
2402600;0,494024734
2402709;0,441922687
2402808;0,40894805
2402907;0,385285988
2403004;0,73445564
2403103;0,871000956
2403202;0,34508547
2403251;0,875282701
2403301;0,44101709
2403400;0,763418079
2403509;0,53280448
2403608;0,685571224
2403707;0,59197687
2403756;0,865283019
2403806;0,698262419
2403905;0,520026481
2404002;0,595196507
2404101;0,566496887
2404200;0,706018912
2404309;0,501529052
2404408;0,760698266
2404507;0,441649282
2404606;0,109571666
2404705;0,364978195
2404804;0,809674027
2404853;0,820611298
2404903;0,77973819
2405009;0,730623942
2405108;0,619203135
2405207;0,671967125
2405306;0,339664368
2405405;0,597819216
2405504;0,203745318
2405603;0,750208438
2405702;0,772111951
2405801;0,682303063
2405900;0,458012327
2406007;0,556364252
2406106;0,599803684
2406205;0,601705454
2406304;0,335574668
2406403;0,59486986
2406502;0,47172002
2406601;0,501615746
2406700;0,847962549
2406809;0,453200883
2406908;0,600372902
2407005;0,645291676
2407104;0,656687863
2407203;0,724202335
2407252;0,764925373
2407302;0,494207572
2407401;0,542912621
2407500;0,377077865
2407609;0,78267886
2407708;0,724137931
2407807;0,400286108
2407906;0,555686738
2408003;0,930976754
2408102;1
2408201;0,453676471
2408300;0,639415972
2408409;0,711947994
2408508;0,634883223
