AREAP;num_employees_clt;num_firms
1502855001001;860;6
1502905001001;1265;63
1502939003001;808;58
1502939003002;4584;266
1502954003001;2181;84
1503002001001;580;10
1503044001001;1307;68
1503077001001;919;18
1503093001001;3110;205
1503101001001;1511;12
1503200003001;961;40
1503200003002;1819;94
1503309002001;3299;74
1503309002002;1;1
1503408001001;685;27
1503457003001;661;80
1503457003002;833;16
1503507001001;1393;57
1503606003001;1270;70
1503606003002;2342;364
1503606003003;986;162
1503606003004;3756;90
1503705003001;2176;119
1503705003002;185;36
1503754001001;620;28
1503804003001;658;42
1503804003002;3895;246
1503903003001;639;37
1503903003002;4309;86
1504000001001;944;8
1504059001001;2243;140
1504109001001;221;8
1504208005001;24561;834
1504208005002;15876;1388
1504208005004;1308;68
1504307001001;1816;21
1504406001001;1035;40
1504422003001;2823;149
1504422003002;1128;36
1504422003003;9334;204
1504455001001;1144;65
1504505001001;884;7
1504604001001;131;31
1504703003001;1037;16
1504703003002;5795;170
1504802003001;339;70
1504802003002;2343;49
1504901001001;946;20
1504950001001;1266;13
1504976001001;812;61
1505007001001;797;48
1505031001001;2275;305
1505064003002;3530;249
1505106003001;2738;196
1505106003002;29;5
1505205001001;1174;16
1505304003001;2686;82
1505304003002;4453;183
1505403001001;714;42
1505437001001;5522;182
1505486003002;1650;137
1505494001001;371;25
1505502003001;810;42
1505502003002;1980;292
1505502003003;7326;457
1505502003004;7717;462
1505536003001;4319;232
1505536003002;9433470692;39
1505536003003;25;8
1505536003004;53;14
1505536003005;25462;734
1505536003006;7404;357
1505536003007;75;19
1505551001001;702;42
1505601001001;416;20
1505635001001;1303;113
1505650001001;959;38
1505700001001;1038;23
1505809003001;2407;61
1505809003002;4;2
1505908001001;1115;30
1506005001001;991;24
1506104001001;466;18
1506112001001;603;8
1506138003001;680;55
1506138003002;5312;324
1506138003003;4652;492
1506161001001;2086;221
1506187003001;1631;74
1506187003002;3062;401
1506195003002;1608;63
1506203003001;2364;218
1506302001001;1020;37
1506351001001;1305;43
1506401001001;262;7
1506500003001;3048;132
1506500003002;3972;255
1506559001001;1044;34
1506583001001;1438;114
1506609001001;1195;93
1506708003001;160;45
1506708003002;3896;270
1506807005001;2195;261
1506807005002;21835;1354
1506807005003;3074;208
1506807005004;2393;306
1506807005005;2057;150
1506807005006;406;35
1506807005007;1099;97
1506807005008;134;25
1506807005011;207;7
1506906001001;463;4
1507003001001;1825;125
1507102001001;695;26
1507151001001;1384;78
1507201001001;1250;60
1507300003003;315;44
1507300003004;4349;449
1507409001001;790;58
1507458001001;1981;212
1507466001001;309;6
1507474001001;746;32
1507508001001;450;34
1507607003001;2347;135
1507607003002;1300;112
1507706001001;903;19
1507755001001;790;51
1507805001001;593;30
1507904001001;1140;85
1507953003001;71;15
1507953003002;8709;317
1507961001001;613;22
1507979001001;905;36
1508001003001;581;24
1508001003002;6031;340
1508035001001;1169;27
1508050001001;446;32
1508084003001;628;84
1508084003002;2419;252
1508100003001;942;79
1508100003002;5996;112
1508100003003;1252;31
1508100003004;3973;411
1508126003001;3860;200
1508159003001;1385;171
1508159003002;1553;40
1508209003001;275;30
1508209003002;2449;104
1508308003001;1;1
1508308003002;2336;49
1508357001001;500;61
1508407003001;1485;168
1508407003002;4579;382
1600055001001;355;15
1600105001001;445;37
1600154001001;1453;32
1600204001001;518;34
1600212001001;296;19
1600238001001;464;26
1600253001001;251;20
1600279003001;2480;181
1600303005001;1955;99
1600303005002;1889;96
1600303005003;3265;216
1600303005004;732;47
1600303005005;639;72
1600303005006;226;57
1600303005007;846;83
1600303005008;8380;407
1600303005009;6299;468
1600303005010;52207;1191
1600303005011;9632256509;64
1600303005012;38528945336;94
1600303005013;6183;375
1600303005014;1125;63
1600303005015;422;40
1600303005016;577;72
1600303005017;9632236441;47
1600303005018;9632236500;74
1600303005019;1371;66
1600402001001;1190;44
1600501001001;1021;90
1600535001001;1384;64
1600550001001;311;8
1600600003001;2054;144
1600600003002;4402;106
1600600003003;2490;315
1600709001001;405;31
1600808001001;526;26
1700251001001;212;28
1700301001001;489;28
1700350001001;476;79
1700400001001;648;60
1700707001001;1898;186
1701002001001;1003;94
1701051001001;265;17
1701101001001;264;36
1701309001001;334;56
1701903001001;371;22
1702000001001;1156;213
1702109003001;646;74
1702109003002;6473;466
1702109003003;997;172
1702109003004;10038;988
1702109003005;507;92
1702109003006;2499;345
1702109003007;4274;373
1702158001001;585;81
1702208001001;1629;181
1702307001001;821;130
1702406001001;679;81
1702554001001;1070;130
1702703001001;232;17
1702901001001;686;52
1703008001001;848;82
1703057001001;459;67
1703073001001;205;11
1703107001001;420;58
1703206001001;344;46
1703305001001;217;12
1703602001001;286;23
1703701001001;875;78
1703800001001;482;35
1703826001001;163;7
1703842001001;559;68
1703867001001;509;78
1703883001001;283;20
1703891001001;172;8
1703909001001;352;39
1704105001001;238;12
1704600001001;154;14
1705102001001;209;24
1705508003001;2920;333
1705508003002;870;104
1705557001001;268;35
1705607001001;254;23
1706001001001;277;37
1706100001001;633;117
1706258001001;116;18
1706506001001;341;39
1707009001001;12673844287;267
1707108001001;647;102
1707207001001;330;62
1707306001001;508;110
1707405001001;474;10
1707553001001;386;35
1707652001001;593;106
1707702001001;717;77
1708205001001;12667145576;266
1708254001001;450;47
1708304001001;197;25
1709005001001;633;42
1709302001001;2626;417
1709500003001;1534;187
1709500003002;2404;194
1709500003003;6204;840
1709500003004;4962;341
1709807001001;170;16
1710508001001;450;52
1710706001001;381;23
1710904001001;269;29
1711100001001;334;42
1711506001001;305;40
1711803001001;146;6
1711902001001;941;119
1711951001001;143;12
1712009001001;426;50
1712157001001;13;6
1712405001001;99;3
1712454001001;207;16
1712504001001;477;56
1712702001001;286;20
1712801001001;199;8
1713205001001;2833;260
1713304001001;1014;142
1713601001001;450;79
1713700001001;160;24
1713809001001;240;22
1713957001001;374;38
1714203001001;728;112
1714302001001;244;21
1714880001001;1166;95
1715002001001;223;29
1715101001001;235;26
1715150001001;151;13
1715259001001;292;17
1715507001001;158;10
1715705001001;119;42
1715754001001;588;109
1716109003001;3183;285
1716109003002;4340;597
1716208001001;665;76
1716307001001;389;40
1716505001001;2295;181
1716604001001;1159;165
1716653001001;296;41
1716703001001;956;95
1717008001001;216;19
1717206001001;473;36
1717503001001;488;95
1717800001001;185;20
1717909001001;266;40
