year;cod_mun;idhm
2000;2205409;0.364
2000;2205458;0.307
2000;2205508;0.402
2000;2205516;0.32899999999999996
2000;2205524;0.382
2000;2205532;0.348
2000;2205540;0.457
2000;2205557;0.373
2000;2205565;0.303
2000;2205573;0.312
2000;2205581;0.38299999999999995
2000;2205599;0.382
2000;2205607;0.451
2000;2205706;0.348
2000;2205805;0.38
2000;2205854;0.36200000000000004
2000;2205904;0.442
2000;2205953;0.396
2000;2206001;0.466
2000;2206050;0.31
2000;2206100;0.376
2000;2206209;0.33799999999999997
2000;2206308;0.41200000000000003
2000;2206357;0.297
2000;2206407;0.44
2000;2206506;0.409
2000;2206605;0.387
2000;2206654;0.317
2000;2206670;0.297
2000;2206696;0.312
2000;2206704;0.38
2000;2206720;0.389
2000;2206753;0.373
2000;2206803;0.37
2000;2206902;0.39
2000;2206951;0.24600000000000002
2000;2207009;0.445
2000;2207108;0.39799999999999996
2000;2207207;0.35200000000000004
2000;2207306;0.45
2000;2207355;0.38299999999999995
2000;2207405;0.428
2000;2207504;0.37
2000;2207553;0.284
2000;2207603;0.36200000000000004
2000;2207702;0.546
2000;2207751;0.376
2000;2207777;0.364
2000;2207793;0.282
2000;2207801;0.396
2000;2207850;0.33299999999999996
2000;2207900;0.385
2000;2207934;0.325
2000;2207959;0.321
2000;2208007;0.545
2000;2208106;0.376
2000;2208205;0.36700000000000005
2000;2208304;0.431
2000;2208403;0.455
2000;2208502;0.374
2000;2208551;0.374
2000;2208601;0.418
2000;2208650;0.28
2000;2208700;0.402
2000;2208809;0.43
2000;2208858;0.395
2000;2208874;0.285
2000;2208908;0.439
2000;2209005;0.414
2000;2209104;0.445
2000;2209153;0.392
2000;2209203;0.39299999999999996
2000;2209302;0.414
2000;2209351;0.35100000000000003
2000;2209377;0.35200000000000004
2000;2209401;0.44299999999999995
2000;2209450;0.444
2000;2209500;0.42700000000000005
2000;2209559;0.35
2000;2209609;0.48100000000000004
2000;2209658;0.24100000000000002
2000;2209708;0.348
2000;2209757;0.384
2000;2209807;0.502
2000;2209856;0.366
2000;2209872;0.359
2000;2209906;0.364
2000;2209955;0.368
2000;2209971;0.35700000000000004
2000;2210003;0.451
2000;2210052;0.363
2000;2210102;0.408
2000;2210201;0.35700000000000004
2000;2210300;0.436
2000;2210359;0.39899999999999997
2000;2210375;0.39
2000;2210383;0.342
2000;2210391;0.348
2000;2210409;0.342
2000;2210508;0.43700000000000006
2000;2210607;0.49700000000000005
2000;2210623;0.33799999999999997
2000;2210631;0.369
2000;2210656;0.35600000000000004
2000;2210706;0.371
2000;2210805;0.473
2000;2210904;0.344
2000;2210938;0.39
2000;2210953;0.316
2000;2210979;0.376
2000;2211001;0.62
2000;2211100;0.397
2000;2211209;0.43200000000000005
2000;2211308;0.496
2000;2211357;0.318
2000;2211407;0.42100000000000004
2000;2211506;0.358
2000;2211605;0.35700000000000004
2000;2211704;0.282
2000;2300101;0.452
2000;2300150;0.49
2000;2300200;0.415
2000;2300309;0.41200000000000003
2000;2300408;0.365
2000;2300507;0.42200000000000004
2000;2300606;0.41700000000000004
2000;2300705;0.43799999999999994
2000;2300754;0.423
2000;2300804;0.431
2000;2300903;0.431
2000;2301000;0.499
2000;2301109;0.523
2000;2301208;0.451
2000;2301257;0.43700000000000006
2000;2301307;0.371
2000;2301406;0.45299999999999996
2000;2301505;0.419
2000;2301604;0.37
2000;2301703;0.435
2000;2301802;0.452
2000;2301851;0.456
2000;2301901;0.517
2000;2301950;0.46299999999999997
2000;2302008;0.442
2000;2302057;0.35600000000000004
2000;2302107;0.488
2000;2302206;0.455
2000;2302305;0.406
2000;2302404;0.419
2000;2302503;0.503
2000;2302602;0.462
2000;2302701;0.47100000000000003
2000;2302800;0.44799999999999995
2000;2302909;0.457
2000;2303006;0.42100000000000004
2000;2303105;0.41600000000000004
2000;2303204;0.392
2000;2303303;0.43799999999999994
2000;2303402;0.419
2000;2303501;0.493
2000;2303600;0.41200000000000003
2000;2303659;0.42700000000000005
2000;2303709;0.555
2000;2303808;0.473
2000;2303907;0.39799999999999996
2000;2303931;0.38
2000;2303956;0.43700000000000006
2000;2304004;0.406
2000;2304103;0.503
2000;2304202;0.5770000000000001
2000;2304236;0.37200000000000005
2000;2304251;0.435
2000;2304269;0.449
2000;2304277;0.433
2000;2304285;0.507
2000;2304301;0.447
2000;2304350;0.46399999999999997
2000;2304400;0.652
2000;2304459;0.48
2000;2304509;0.45
2000;2304608;0.392
2000;2304657;0.381
2000;2304707;0.371
2000;2304806;0.37200000000000005
2000;2304905;0.451
2000;2304954;0.45399999999999996
2000;2305001;0.43
2000;2305100;0.5
2000;2305209;0.424
2000;2305233;0.493
2000;2305266;0.406
2000;2305308;0.451
2000;2305332;0.451
2000;2305357;0.478
2000;2305407;0.445
2000;2305506;0.546
2000;2305605;0.495
2000;2305654;0.409
2000;2305704;0.444
2000;2305803;0.473
2000;2305902;0.401
2000;2306009;0.499
2000;2306108;0.428
2000;2306207;0.496
2000;2306256;0.475
2000;2306306;0.45899999999999996
2000;2306405;0.47700000000000004
2000;2306504;0.479
2000;2306553;0.389
2000;2306603;0.36200000000000004
2000;2306702;0.445
2000;2306801;0.46799999999999997
2000;2306900;0.518
2000;2307007;0.498
2000;2307106;0.439
2000;2307205;0.474
2000;2307254;0.42200000000000004
2000;2307304;0.544
2000;2307403;0.441
2000;2307502;0.46
2000;2307601;0.561
2000;2307635;0.44299999999999995
2000;2307650;0.575
2000;2307700;0.524
2000;2307809;0.446
2000;2307908;0.40700000000000003
2000;2308005;0.423
2000;2308104;0.445
2000;2308203;0.44
2000;2308302;0.45
2000;2308351;0.466
2000;2308377;0.39399999999999996
2000;2308401;0.444
2000;2308500;0.39899999999999997
2000;2308609;0.43700000000000006
2000;2308708;0.485
2000;2308807;0.386
2000;2308906;0.415
2000;2309003;0.45799999999999996
2000;2309102;0.48
2000;2309201;0.451
2000;2309300;0.45899999999999996
2000;2309409;0.42200000000000004
2000;2309458;0.434
2000;2309508;0.465
2000;2309607;0.508
2000;2309706;0.5329999999999999
2000;2309805;0.484
2000;2309904;0.486
2000;2310001;0.49200000000000005
2000;2310100;0.49700000000000005
2000;2310209;0.457
2000;2310258;0.495
2000;2310308;0.387
2000;2310407;0.405
2000;2310506;0.42
2000;2310605;0.53
2000;2310704;0.467
2000;2310803;0.445
2000;2310852;0.493
2000;2310902;0.42700000000000005
2000;2310951;0.39299999999999996
2000;2311009;0.401
2000;2311108;0.47700000000000004
2000;2311207;0.396
2000;2311231;0.425
2000;2311264;0.405
2000;2311306;0.524
2000;2311355;0.36700000000000005
2000;2311405;0.48200000000000004
2000;2311504;0.475
2000;2311603;0.478
2000;2311702;0.45399999999999996
2000;2311801;0.527
2000;2311900;0.374
2000;2311959;0.326
2000;2312007;0.431
2000;2312106;0.424
2000;2312205;0.431
2000;2312304;0.433
2000;2312403;0.45899999999999996
2000;2312502;0.523
2000;2312601;0.506
2000;2312700;0.48700000000000004
2000;2312809;0.377
2000;2312908;0.537
2000;2313005;0.45399999999999996
2000;2313104;0.522
2000;2313203;0.385
2000;2313252;0.377
2000;2313302;0.47700000000000004
2000;2313351;0.42100000000000004
2000;2313401;0.46
2000;2313500;0.42
2000;2313559;0.418
2000;2313609;0.46399999999999997
2000;2313708;0.419
2000;2313757;0.395
2000;2313807;0.456
2000;2313906;0.39399999999999996
2000;2313955;0.45899999999999996
2000;2314003;0.462
2000;2314102;0.369
2000;2400109;0.557
2000;2400208;0.536
2000;2400307;0.456
2000;2400406;0.41100000000000003
2000;2400505;0.467
2000;2400604;0.493
2000;2400703;0.513
2000;2400802;0.528
2000;2400901;0.435
2000;2401008;0.502
2000;2401107;0.55
2000;2401206;0.46299999999999997
2000;2401305;0.452
2000;2401404;0.46
2000;2401453;0.414
2000;2401503;0.413
2000;2401602;0.371
2000;2401651;0.41700000000000004
2000;2401701;0.425
2000;2401800;0.434
2000;2401859;0.424
2000;2401909;0.428
2000;2402006;0.613
2000;2402105;0.479
2000;2402204;0.418
2000;2402303;0.46
2000;2402402;0.59
2000;2402501;0.48100000000000004
2000;2402600;0.47700000000000004
2000;2402709;0.433
2000;2402808;0.41600000000000004
2000;2402907;0.408
2000;2403004;0.56
2000;2403103;0.5720000000000001
2000;2403202;0.433
2000;2403251;0.629
2000;2403301;0.45299999999999996
2000;2403400;0.494
2000;2403509;0.402
2000;2403608;0.528
2000;2403707;0.478
2000;2403756;0.47600000000000003
2000;2403806;0.49200000000000005
2000;2403905;0.47
2000;2404002;0.461
2000;2404101;0.41700000000000004
2000;2404200;0.47600000000000003
2000;2404309;0.45
2000;2404408;0.495
2000;2404507;0.444
2000;2404606;0.381
2000;2404705;0.452
2000;2404804;0.51
2000;2404853;0.45399999999999996
2000;2404903;0.517
2000;2405009;0.45799999999999996
2000;2405108;0.413
2000;2405207;0.47100000000000003
2000;2405306;0.424
