;cod_mun;1;2;4;6;8;10;11;12;13;14;15;9
88;1300805;0,2762;0,3302;0,1287;0,1278;0,0339;0,0295;0,0543;0,0003;0,0006;0,0013;0,0021;0,0151
89;1300839;0,2572;0,3167;0,1221;0,1594;0,0313;0,0375;0,05;0,0013;0;0,001;0,004;0,0197
90;1300904;0,4138;0,2136;0,103;0,1291;0,0562;0,0257;0,047;0;0,0021;0,0006;0,0025;0,0064
91;1301001;0,3793;0,2498;0,1084;0,1689;0,0255;0,0153;0,0284;0,0014;0,0013;0,0006;0,0035;0,0176
92;1301100;0,2409;0,3301;0,1486;0,1956;0,0307;0,0163;0,0249;0,0003;0,0005;0;0,0011;0,011
93;1301159;0,1952;0,3439;0,1838;0,1726;0,0343;0,0235;0,0381;0,0004;0;0;0,0008;0,0074
94;1301209;0,279;0,2732;0,1303;0,1547;0,044;0,034;0,0684;0,0002;0,0002;0,001;0,0029;0,012
95;1301308;0,2712;0,2934;0,1244;0,1418;0,0421;0,0403;0,0696;0;0,0033;0,0005;0,0005;0,013
96;1301407;0,4106;0,2262;0,0812;0,1301;0,0274;0,0474;0,0672;0,0013;0,0005;0;0,0005;0,0078
97;1301506;0,4667;0,2822;0,09;0,0679;0,0227;0,0158;0,0282;0,0009;0,0021;0,0006;0;0,023
98;1301605;0,4238;0,3292;0,0881;0,1058;0,0095;0,0146;0,0226;0,0007;0;0;0,0016;0,0042
99;1301654;0,4542;0,2472;0,1005;0,0998;0,0403;0,0205;0,0216;0,0026;0,0007;0;0,0007;0,0117
100;1301704;0,2344;0,2514;0,1144;0,19;0,0539;0,0497;0,0847;0,0007;0,0021;0,0015;0,0092;0,0082
101;1301803;0,4176;0,2873;0,1247;0,0957;0,0224;0,0155;0,02;0,0011;0,0017;0;0,0013;0,0127
102;1301852;0,1701;0,3087;0,1671;0,1816;0,0631;0,0309;0,0539;0,0029;0,0024;0,0034;0,0039;0,0119
103;1301902;0,1059;0,284;0,1818;0,1902;0,0603;0,0505;0,1115;0,002;0,0012;0,0017;0,0057;0,0053
104;1301951;0,5653;0,2187;0,0542;0,0755;0,028;0,0122;0,0165;0;0;0,0007;0;0,0289
105;1302009;0,0955;0,2875;0,1598;0,2544;0,0518;0,0494;0,0903;0,0027;0;0;0,0029;0,0058
106;1302108;0,4459;0,2433;0,0995;0,1663;0,0246;0,0045;0,0071;0;0;0;0,0007;0,008
107;1302207;0,4171;0,2693;0,0934;0,0914;0,037;0,0248;0,0282;0,0026;0,0012;0;0;0,0351
108;1302306;0,4779;0,2687;0,0891;0,0877;0,0239;0,0219;0,023;0;0,0016;0,001;0,0014;0,0038
109;1302405;0,4078;0,2341;0,0919;0,148;0,0398;0,0344;0,0309;0;0,0019;0,0005;0,0014;0,0093
110;1302504;0,1985;0,2947;0,1424;0,1838;0,0501;0,0386;0,0803;0,0008;0,0006;0,0005;0,0035;0,006
111;1302553;0,1638;0,3338;0,1834;0,1903;0,0652;0,0226;0,0365;0,0016;0,0015;0;0;0,0014
112;1302603;0,0621;0,1527;0,1116;0,2328;0,1;0,0793;0,1963;0,0089;0,0077;0,0079;0,0321;0,0088
113;1302702;0,2958;0,2744;0,1327;0,1589;0,0398;0,0245;0,0516;0;0,0007;0,0007;0,0018;0,019
114;1302801;0,5107;0,2713;0,0748;0,0746;0,0143;0,0112;0,0191;0;0;0;0,0019;0,022
115;1302900;0,1443;0,3144;0,1654;0,1896;0,0492;0,045;0,0754;0,001;0,0008;0,0011;0,0026;0,0111
116;1303007;0,1599;0,2819;0,1591;0,1841;0,0579;0,0532;0,0839;0,0011;0;0,0011;0,002;0,0158
117;1303106;0,2628;0,3669;0,1349;0,1364;0,0143;0,0263;0,0502;0,002;0;0,0007;0,0038;0,0017
118;1303205;0,1967;0,2975;0,1502;0,2131;0,035;0,0268;0,0538;0,0011;0,002;0,0011;0,012;0,0108
119;1303304;0,2536;0,346;0,1216;0,1613;0,025;0,0346;0,0442;0,0016;0;0,0004;0,0067;0,0049
120;1303403;0,0966;0,2658;0,1642;0,2365;0,0643;0,0623;0,0953;0,0005;0,0008;0,0013;0,0062;0,0062
121;1303502;0,5153;0,2826;0,0608;0,0642;0,0189;0,0151;0,0184;0,0005;0,0018;0;0,0025;0,0199
122;1303536;0,1252;0,2311;0,1431;0,2235;0,0904;0,0487;0,107;0,0008;0,0027;0,0036;0,0116;0,0122
123;1303569;0,1556;0,2654;0,1247;0,25;0,0684;0,0444;0,0683;0,0014;0,0015;0,0012;0,0035;0,0157
124;1303601;0,3411;0,2313;0,0932;0,1859;0,0674;0,0267;0,0427;0;0,0007;0,001;0,0018;0,0082
125;1303700;0,4097;0,2498;0,1034;0,1391;0,0435;0,0167;0,025;0;0,002;0,0005;0,003;0,0073
126;1303809;0,2729;0,2128;0,1217;0,1814;0,0561;0,0391;0,0907;0,001;0,0034;0,0016;0,0097;0,0097
127;1303908;0,3829;0,3231;0,0712;0,128;0,0257;0,0185;0,0384;0;0;0,0005;0,0062;0,0054
128;1303957;0,1355;0,2674;0,1433;0,2528;0,0679;0,0546;0,0746;0;0,0012;0,0007;0,0012;0,001
129;1304005;0,1034;0,3202;0,179;0,2211;0,039;0,0474;0,0765;0,004;0;0,0011;0,0029;0,0053
130;1304062;0,2164;0,2417;0,1289;0,1856;0,066;0,0488;0,0845;0,0015;0,0017;0,0034;0,0098;0,0119
131;1304104;0,4848;0,2383;0,0945;0,0997;0,0247;0,0222;0,0331;0,0002;0;0,0004;0,0003;0,0018
132;1304203;0,1919;0,2854;0,1295;0,1962;0,0561;0,0533;0,0676;0,0015;0,0014;0,0023;0,0075;0,0074
133;1304237;0,3119;0,3575;0,1227;0,1346;0,019;0,025;0,0234;0,0017;0;0;0,0018;0,0023
134;1304260;0,3578;0,3141;0,1107;0,1018;0,0567;0,0262;0,0228;0;0,0018;0,0012;0,0011;0,0058
135;1304302;0,1145;0,2608;0,1577;0,2614;0,0357;0,0698;0,0874;0,0022;0,0008;0,0008;0,0009;0,008
136;1304401;0,1145;0,3669;0,1846;0,1598;0,0609;0,0356;0,0682;0;0,0016;0;0,0015;0,0064
137;1400027;0,2935;0,2489;0,1633;0,1703;0,046;0,0253;0,0335;0;0,0008;0,0019;0,0086;0,008
138;1400050;0,1778;0,243;0,1655;0,2475;0,0633;0,0439;0,0472;0,0002;0,002;0,002;0,0012;0,0066
139;1400100;0,0682;0,1373;0,1177;0,2188;0,1245;0,1038;0,1585;0,0069;0,0078;0,0087;0,032;0,0159
140;1400159;0,1723;0,2572;0,1805;0,2207;0,0583;0,038;0,0632;0,0006;0;0,0017;0,0057;0,0019
141;1400175;0,1991;0,2563;0,1578;0,2144;0,0506;0,053;0,0454;0,001;0,0041;0,0062;0,0056;0,0064
142;1400209;0,1754;0,2466;0,1211;0,2068;0,0745;0,0514;0,0797;0,0025;0,0013;0,0033;0,0096;0,0278
143;1400233;0,214;0,2761;0,1438;0,1601;0,0799;0,0593;0,0509;0,0084;0,0007;0;0,004;0,003
144;1400282;0,1482;0,3089;0,0989;0,2293;0,0796;0,0558;0,0532;0;0,0013;0,0015;0,0036;0,0196
145;1400308;0,188;0,2061;0,1411;0,2224;0,0919;0,0542;0,06;0,004;0,0062;0,004;0,0037;0,0183
146;1400407;0,2274;0,2317;0,175;0,2174;0,0597;0,0284;0,0531;0,0027;0;0;0,0024;0,0023
147;1400456;0,158;0,2098;0,1519;0,2095;0,0954;0,0796;0,0646;0;0,0019;0,0037;0,0134;0,0122
148;1400472;0,194;0,2311;0,1437;0,2015;0,0752;0,0524;0,0657;0,0025;0,0032;0,0015;0,0071;0,0221
149;1400506;0,1309;0,2681;0,1064;0,2283;0,1107;0,0672;0,0655;0,0051;0,0018;0,0012;0,0091;0,0056
150;1400605;0,1667;0,1913;0,1456;0,2376;0,1038;0,051;0,0722;0,0021;0,0011;0;0,0104;0,0181
151;1400704;0,3377;0,284;0,1722;0,1087;0,0387;0,0297;0,0114;0;0,0045;0,0026;0,0024;0,008
152;1500107;0,1455;0,3347;0,1337;0,1658;0,0571;0,0558;0,0856;0,0029;0,003;0,0015;0,0075;0,0068
153;1500131;0,1995;0,2769;0,1747;0,1552;0,1335;0,0182;0,0184;0,0041;0,0031;0,0033;0,0027;0,0104
154;1500206;0,3058;0,4257;0,1147;0,0816;0,0211;0,0177;0,0236;0,0003;0;0,0003;0,0013;0,0081
155;1500305;0,4306;0,3172;0,1109;0,0783;0,0288;0,0127;0,0096;0;0;0,0005;0,0012;0,0102
156;1500347;0,2322;0,3502;0,161;0,1612;0,0284;0,0334;0,0262;0,0004;0;0;0,0017;0,0052
157;1500404;0,1554;0,3718;0,1388;0,1479;0,0574;0,0461;0,0706;0,0007;0,001;0,0003;0,0038;0,0062
158;1500503;0,1884;0,2913;0,1046;0,1425;0,081;0,0611;0,1093;0,0024;0,002;0,0018;0,0117;0,0039
159;1500602;0,1599;0,2537;0,1345;0,1775;0,0928;0,0641;0,0872;0,0026;0,0031;0,0028;0,0129;0,0088
160;1500701;0,5158;0,3244;0,0552;0,0549;0,0153;0,0071;0,0149;0;0;0;0,0009;0,0117
161;1500800;0,0477;0,1786;0,1129;0,2167;0,1159;0,1105;0,17;0,0052;0,0057;0,0056;0,0222;0,009
162;1500859;0,2715;0,3476;0,1542;0,1267;0,0517;0,0093;0,019;0;0,0023;0,0008;0,0014;0,0154
163;1500909;0,2281;0,4154;0,1409;0,1224;0,0236;0,0217;0,0302;0,0007;0,0002;0,0013;0,0022;0,0135
164;1500958;0,3166;0,3944;0,0896;0,1053;0,0204;0,0235;0,0238;0;0,0005;0;0;0,0259
165;1501006;0,169;0,4021;0,1887;0,1461;0,0317;0,019;0,0371;0,0013;0;0,0002;0,002;0,0028
166;1501105;0,344;0,4044;0,0875;0,0898;0,0258;0,0157;0,0238;0,0003;0,0006;0;0,0011;0,007
167;1501204;0,1182;0,3767;0,1497;0,1589;0,0634;0,0479;0,073;0;0,0014;0;0,0037;0,0071
168;1501253;0,2006;0,323;0,2365;0,153;0,036;0,0229;0,0122;0,0021;0,0014;0,0014;0,003;0,0079
169;1501303;0,1156;0,2882;0,1232;0,1819;0,0751;0,0729;0,1102;0,0038;0,0044;0,0028;0,0143;0,0076
170;1501402;0,0442;0,1594;0,1158;0,1954;0,1008;0,1017;0,1891;0,0079;0,0093;0,0108;0,0584;0,0073
171;1501451;0,1329;0,3381;0,2002;0,162;0,0731;0,0339;0,0453;0,0005;0,0011;0,0002;0,0018;0,0108
172;1501501;0,0728;0,2685;0,131;0,23;0,0988;0,0599;0,1141;0,0031;0,0023;0,0022;0,0086;0,0087
173;1501576;0,2815;0,3063;0,1114;0,1562;0,0483;0,0309;0,0484;0,0046;0,0009;0,0004;0,0005;0,0104
174;1501600;0,207;0,436;0,1075;0,1473;0,0326;0,0176;0,0294;0,0016;0;0;0,0026;0,0184
175;1501709;0,1492;0,3443;0,1403;0,156;0,0548;0,0544;0,0785;0,0012;0,0022;0,0015;0,0098;0,0078
176;1501725;0,1976;0,2837;0,2002;0,1826;0,0533;0,0283;0,0362;0,001;0,0021;0;0,0025;0,0123
177;1501758;0,1883;0,2921;0,159;0,1775;0,0648;0,0372;0,0573;0,0018;0,0019;0,0006;0,0068;0,0127
178;1501782;0,209;0,3718;0,1554;0,1463;0,0434;0,0307;0,0274;0,0021;0,0022;0,0009;0,0003;0,0104
179;1501808;0,3465;0,3427;0,103;0,0971;0,0393;0,0266;0,0298;0,0008;0,0009;0,0007;0,0032;0,0094
180;1501907;0,1982;0,3661;0,1613;0,1458;0,0354;0,0363;0,0443;0;0,0014;0,0022;0,0015;0,0076
181;1501956;0,4159;0,3794;0,0707;0,062;0,0138;0,0082;0,0126;0;0,0004;0,0005;0;0,0365
182;1502004;0,1759;0,3802;0,1815;0,1441;0,0471;0,0263;0,0297;0,0004;0,0022;0,0009;0,0045;0,0073
183;1502103;0,1363;0,3808;0,1753;0,1489;0,042;0,037;0,0635;0,0017;0,0012;0,0006;0,0061;0,0065
184;1502152;0,175;0,3151;0,1751;0,1961;0,0594;0,0278;0,0419;0;0,0006;0;0,0028;0,0062
185;1502202;0,1202;0,2921;0,1393;0,161;0,079;0,0666;0,1171;0,0017;0,003;0,0012;0,0112;0,0075
186;1502301;0,283;0,3767;0,1115;0,1149;0,035;0,025;0,0315;0,001;0,0011;0,0003;0,004;0,0161
187;1502400;0,0956;0,2418;0,1304;0,2019;0,0866;0,0857;0,1277;0,0031;0,0029;0,0025;0,0143;0,0074
188;1502509;0,3866;0,3859;0,1149;0,0397;0,0172;0,0083;0,0118;0;0;0,0007;0;0,0349
189;1502608;0,0709;0,3148;0,1725;0,2005;0,0605;0,0761;0,0915;0;0;0,001;0,0075;0,0047
190;1502707;0,1855;0,2788;0,1288;0,1755;0,0651;0,0554;0,08;0,0044;0,0012;0,0015;0,0129;0,0108
191;1502756;0,2209;0,4082;0,1312;0,1359;0,0326;0,0253;0,0408;0,0008;0,0006;0;0,0012;0,0026
192;1502764;0,2164;0,3907;0,1462;0,1584;0,0523;0,0158;0,0103;0;0;0,0008;0,0024;0,0067
